company_key,company,landmark_date,endpoint_date,duration_years,event,censoring_basis,pre_round_count,pre_rounds_with_amount,pre_funding_total_usd,pre_funding_max_usd,pre_unique_investor_count,pre_investor_count_max,years_of_history_pre,days_since_last_pre_round,max_feature_round_date
illumio,"Illumio, Inc.",2015-02-08,2017-06-07,2.327173169062286,1,first_ge_1b_event,2.0,2.0,42490000.0,34500000.0,4.0,3.0,1.998631074606434,508.0,2013-09-18
eternalnseieternal,Eternal Limited (NSEI:ETERNAL),2015-02-21,2020-12-18,5.823408624229979,1,first_ge_1b_event,3.0,3.0,106430000.0,59920000.0,3.0,3.0,1.998631074606434,95.0,2014-11-18
hirotsubioscience,Hirotsu Bio Science Inc.,2020-07-22,2021-07-16,0.9828884325804244,0,last_supplied_sub_1b_round_proxy,1.0,1.0,12570000.0,12570000.0,8.0,8.0,1.998631074606434,730.0,2018-07-23
grovecollaborativenysegrov,"Grove Collaborative Holdings, Inc. (NYSE:GROV)",2018-02-09,2020-11-24,2.7898699520876113,0,last_supplied_sub_1b_round_proxy,2.0,2.0,43400000.0,38210000.0,6.0,6.0,1.998631074606434,23.0,2018-01-17
jianpuotcpkaijty,Jianpu Technology Inc. (OTCPK:AIJT.Y),2015-07-22,2015-10-14,0.2299794661190965,0,last_supplied_sub_1b_round_proxy,1.0,1.0,30000000.0,30000000.0,4.0,4.0,1.998631074606434,730.0,2013-07-22
koboldmetals,KoBold Metals Company,2021-03-03,2025-01-01,3.8329911019849416,1,first_ge_1b_event,1.0,1.0,23220000.0,23220000.0,2.0,2.0,1.998631074606434,730.0,2019-03-04
pelotoninteractivenasdaqgspton,"Peloton Interactive, Inc. (NasdaqGS:PTON)",2015-12-31,2017-05-24,1.3963039014373717,0,last_supplied_sub_1b_round_proxy,4.0,4.0,117620000.0,75000000.0,3.0,2.0,1.998631074606434,29.0,2015-12-02
getaroundotcpkgetr,"Getaround, Inc. (OTCPK:GETR)",2014-08-02,2018-08-21,4.05201916495551,0,last_supplied_sub_1b_round_proxy,1.0,1.0,13900000.0,13900000.0,5.0,5.0,1.998631074606434,730.0,2012-08-02
zenleads,"ZenLeads, Inc.",2018-03-23,2023-08-29,5.434633812457221,1,first_ge_1b_event,1.0,1.0,120000.0,120000.0,1.0,1.0,1.998631074606434,730.0,2016-03-23
gotse581a,GO Inc. (TSE:581A),2020-07-29,2023-12-25,3.405886379192334,0,last_supplied_sub_1b_round_proxy,2.0,2.0,33760000.0,20270000.0,2.0,1.0,1.998631074606434,691.0,2018-09-07
koreacreditdata,"Korea Credit Data Co.,Ltd.",2022-01-01,2023-08-24,1.6427104722792607,0,last_supplied_sub_1b_round_proxy,1.0,0.0,0.0,0.0,3.0,3.0,1.998631074606434,730.0,2020-01-02
supabase,"Supabase, Inc.",2024-05-09,2025-09-08,1.3333333333333333,1,first_ge_1b_event,1.0,1.0,80000000.0,80000000.0,4.0,4.0,1.998631074606434,730.0,2022-05-10
smartpaddleprivate,Smartpaddle Technology Private Limited,2023-11-25,2025-03-11,1.2922655715263518,0,last_supplied_sub_1b_round_proxy,2.0,2.0,160740000.0,110740000.0,12.0,10.0,1.998631074606434,52.0,2023-10-04
opendoornasdaqgsopen,Opendoor Technologies Inc. (NasdaqGS:OPEN),2016-09-04,2018-09-27,2.0616016427104724,1,first_ge_1b_event,2.0,2.0,87240000.0,77160000.0,5.0,4.0,1.998631074606434,213.0,2016-02-04
everydaysoftwaresl,"Everyday Software, S.L.",2023-09-05,2026-06-03,2.7433264887063653,1,first_ge_1b_event,2.0,2.0,199800000.0,119590000.0,10.0,7.0,1.998631074606434,329.0,2022-10-11
jswoneplatforms,JSW One Platforms Limited,2025-04-09,2025-10-05,0.49007529089664614,0,last_supplied_sub_1b_round_proxy,1.0,1.0,25000000.0,25000000.0,1.0,1.0,1.998631074606434,730.0,2023-04-10
satispayspa,Satispay S.p.A.,2019-09-07,2022-09-28,3.058179329226557,0,last_supplied_sub_1b_round_proxy,2.0,2.0,39620000.0,22000000.0,11.0,7.0,1.998631074606434,352.0,2018-09-20
hiveloopprivate,Hiveloop Technology Private Limited,2020-09-02,2021-01-06,0.34496919917864477,1,first_ge_1b_event,1.0,1.0,223550000.0,223550000.0,2.0,2.0,1.998631074606434,730.0,2018-09-03
pantheonsystems,"Pantheon Systems, Inc.",2016-05-14,2021-07-12,5.160848733744011,0,last_supplied_sub_1b_round_proxy,1.0,1.0,21740000.0,21740000.0,4.0,4.0,1.998631074606434,730.0,2014-05-15
twinhealth,"Twin Health, Inc.",2022-10-27,2025-08-21,2.817248459958932,0,last_supplied_sub_1b_round_proxy,2.0,2.0,180310000.0,154810000.0,7.0,7.0,1.998631074606434,314.0,2021-12-17
guangzhousmartmoreinformation,"Guangzhou Smartmore Information Technology Co, Ltd.",2022-01-28,2024-08-01,2.507871321013005,1,first_ge_1b_event,1.0,1.0,10000000.0,10000000.0,1.0,1.0,1.998631074606434,730.0,2020-01-29
domonasdaqgmdomo,"Domo, Inc. (NasdaqGM:DOMO)",2015-03-11,2017-04-27,2.130047912388775,1,first_ge_1b_event,2.0,2.0,185000000.0,125000000.0,14.0,11.0,1.998631074606434,399.0,2014-02-05
fivestarbusinessfinancenseifivestar,Five-Star Business Finance Limited (NSEI:FIVESTAR),2019-08-09,2021-03-26,1.6290212183436004,1,first_ge_1b_event,2.0,2.0,102140000.0,52110000.0,5.0,4.0,1.998631074606434,18.0,2019-07-22
kohofinancial,KOHO Financial Inc.,2023-03-11,2026-06-11,3.252566735112936,0,last_supplied_sub_1b_round_proxy,1.0,1.0,55690000.0,55690000.0,3.0,3.0,1.998631074606434,730.0,2021-03-11
panoramaeducation,"Panorama Education, Inc.",2015-10-21,2021-09-02,5.867214236824093,0,last_supplied_sub_1b_round_proxy,1.0,1.0,4000000.0,4000000.0,8.0,8.0,1.998631074606434,730.0,2013-10-21
locusrobotics,Locus Robotics Corporation,2019-11-20,2022-11-29,3.025325119780972,1,first_ge_1b_event,3.0,3.0,65680000.0,25210000.0,6.0,5.0,1.998631074606434,223.0,2019-04-11
electrichydrogen,Electric Hydrogen Co.,2023-06-23,2023-10-23,0.33401779603011633,0,last_supplied_sub_1b_round_proxy,2.0,2.0,163190000.0,139330000.0,13.0,13.0,1.998631074606434,366.0,2022-06-22
stokespace,"Stoke Space Technologies, Inc.",2023-05-10,2026-02-10,2.757015742642026,1,first_ge_1b_event,1.0,1.0,9140000.0,9140000.0,4.0,4.0,1.998631074606434,730.0,2021-05-10
banmanetwork,"Banma Network Technology Co., Ltd.",2018-07-31,2023-09-13,5.119780971937029,1,first_ge_1b_event,1.0,1.0,75260000.0,75260000.0,2.0,2.0,1.998631074606434,730.0,2016-07-31
newyorkshippingexchange,"New York Shipping Exchange, Inc.",2017-09-13,2024-11-19,7.184120465434634,0,last_supplied_sub_1b_round_proxy,1.0,1.0,506000.0,506000.0,0.0,0.0,1.998631074606434,730.0,2015-09-14
gobrands,"GoBrands, Inc.",2018-06-01,2019-12-31,1.5824777549623545,1,first_ge_1b_event,1.0,1.0,8250000.0,8250000.0,1.0,1.0,1.998631074606434,730.0,2016-06-01
slack,"Slack Technologies, LLC",2012-03-31,2015-04-16,3.0417522245037647,1,first_ge_1b_event,2.0,2.0,18760000.0,10700000.0,2.0,2.0,1.998631074606434,354.0,2011-04-12
whoop,"WHOOP, Inc.",2016-06-19,2026-03-31,9.779603011635865,1,first_ge_1b_event,2.0,2.0,19310000.0,13310000.0,8.0,7.0,1.998631074606434,171.0,2015-12-31
megatronix,Megatronix Inc,2022-12-31,2025-05-31,2.414784394250513,0,last_supplied_sub_1b_round_proxy,2.0,2.0,145000000.0,105000000.0,6.0,6.0,1.998631074606434,518.0,2021-07-31
junipersquare,"Juniper Square, Inc.",2020-12-11,2025-06-16,4.511978097193703,0,last_supplied_sub_1b_round_proxy,2.0,2.0,100870000.0,75000000.0,4.0,4.0,1.998631074606434,386.0,2019-11-21
oysterhr,"Oyster HR, Inc.",2022-04-21,2024-09-04,2.3737166324435317,1,first_ge_1b_event,4.0,4.0,226920000.0,150000000.0,17.0,13.0,1.998631074606434,1.0,2022-04-20
retool,"Retool, Inc.",2019-08-23,2021-12-22,2.3326488706365502,1,first_ge_1b_event,1.0,1.0,120000.0,120000.0,1.0,1.0,1.998631074606434,730.0,2017-08-23
project1972,"Project 1972, Inc.",2021-06-24,2022-06-15,0.974674880219028,0,last_supplied_sub_1b_round_proxy,2.0,2.0,36800000.0,21800000.0,6.0,6.0,1.998631074606434,399.0,2020-05-21
tbctheboring,TBC-The Boring Company,2021-07-24,2022-05-02,0.7720739219712526,1,first_ge_1b_event,1.0,1.0,120090000.0,120090000.0,6.0,6.0,1.998631074606434,730.0,2019-07-25
kininsurance,"Kin Insurance, Inc.",2020-02-15,2025-09-08,5.563312799452429,1,first_ge_1b_event,1.0,1.0,13060000.0,13060000.0,1.0,1.0,1.998631074606434,730.0,2018-02-15
checkr,"Checkr, Inc.",2018-03-23,2019-09-19,1.4921286789869952,1,first_ge_1b_event,1.0,1.0,40410000.0,40410000.0,3.0,3.0,1.998631074606434,730.0,2016-03-23
lucidsoftware,Lucid Software Inc.,2013-07-25,2020-04-16,6.7268993839835725,0,last_supplied_sub_1b_round_proxy,1.0,1.0,530000.0,530000.0,4.0,4.0,1.998631074606434,730.0,2011-07-26
ladderfinancial,Ladder Financial Inc.,2018-10-19,2022-04-27,3.5208761122518824,0,last_supplied_sub_1b_round_proxy,2.0,2.0,54000000.0,40000000.0,8.0,7.0,1.998631074606434,157.0,2018-05-15
okl,"OKL Holdings, Inc.",2013-09-18,2014-01-30,0.3668720054757016,0,last_supplied_sub_1b_round_proxy,1.0,1.0,40000000.0,40000000.0,4.0,4.0,1.998631074606434,730.0,2011-09-19
segmentio,"Segment.io, Inc.",2016-10-07,2019-04-02,2.4832306639288158,1,first_ge_1b_event,2.0,2.0,41870000.0,27000000.0,4.0,3.0,1.998631074606434,364.0,2015-10-09
bindbenefits,"Bind Benefits, Inc.",2020-06-27,2020-10-21,0.31759069130732376,0,last_supplied_sub_1b_round_proxy,1.0,1.0,70460000.0,70460000.0,3.0,3.0,1.998631074606434,730.0,2018-06-28
flexport,"Flexport, Inc.",2018-09-26,2019-09-05,0.9418206707734429,1,first_ge_1b_event,2.0,2.0,175000000.0,110000000.0,9.0,7.0,1.998631074606434,355.0,2017-10-06
qumulo,"Qumulo, Inc.",2014-03-31,2021-04-20,7.055441478439425,1,first_ge_1b_event,2.0,2.0,26800000.0,24500000.0,3.0,3.0,1.998631074606434,496.0,2012-11-20
