dimension,cohort,rows,positive_rows,negative_rows,status,roc_auc,pr_auc,precision,recall,specificity,f1,brier_score,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,roc_auc_ci_95_low,roc_auc_ci_95_high
prediction_year,2024,260,130.0,130.0,evaluated,0.9824852071005916,0.9844982995555768,0.9421487603305785,0.8769230769230769,0.9461538461538461,0.9083665338645418,0.052948486275955435,0.1602642935537034,0.09187815335894706,1.0206779145372962,123.0,7.0,16.0,114.0,0.9689596254873728,0.9913138593707974
prediction_year,2025,374,187.0,187.0,evaluated,0.9767794332122738,0.9780078202501093,0.9226519337016574,0.893048128342246,0.9251336898395722,0.907608695652174,0.0609126548297716,0.1982210959088886,-0.1670375567898993,1.0725411873704962,173.0,14.0,20.0,167.0,0.9654736086949318,0.9872644134096648
prediction_year,2026,438,219.0,219.0,evaluated,0.946529471862555,0.9584300157990077,0.8807339449541285,0.8767123287671232,0.8812785388127854,0.8787185354691075,0.09002580500627103,0.3057565168569715,-0.6870303153481391,0.7066438261131942,193.0,26.0,27.0,192.0,0.9262290554769794,0.9650408248863848
founding_year_cohort,2010-14,98,12.0,86.0,evaluated,0.929263565891473,0.6807228545570059,0.47058823529411764,0.6666666666666666,0.8953488372093024,0.5517241379310345,0.10294592876059674,0.35560040561328515,-1.7336676108466467,0.8277930213747415,77.0,9.0,4.0,8.0,0.8677624075724566,0.9797921336508826
founding_year_cohort,2015-18,19,,,too_small_or_single_class,,,,,,,,,,,,,,,,
founding_year_cohort,2019-21,4,,,too_small_or_single_class,,,,,,,,,,,,,,,,
founding_year_cohort,≤2009,52,6.0,46.0,evaluated,0.9130434782608696,0.8666666666666667,0.3125,0.8333333333333334,0.7608695652173914,0.45454545454545453,0.12272057649791285,0.3745577580947279,-2.700768183580083,1.0442080460972627,35.0,11.0,1.0,5.0,0.6945918367346939,1.0
founding_year_cohort,nan,899,500.0,399.0,evaluated,0.9708822055137845,0.9789707576166854,0.9424307036247335,0.884,0.9323308270676691,0.9122807017543859,0.06571524245190445,0.21432333705310688,-0.05270347393884064,0.794290679621828,372.0,27.0,58.0,442.0,0.9625182632033547,0.9783087896567576
industry,AI & Data,23,11.0,12.0,evaluated,0.9848484848484849,0.986013986013986,1.0,0.8181818181818182,1.0,0.9,0.05143313485448547,0.18550559183939838,4.038864984858784,4.793894709393862,12.0,0.0,2.0,9.0,,
industry,Education,3,,,too_small_or_single_class,,,,,,,,,,,,,,,,
industry,Enterprise Software,154,77.0,77.0,evaluated,0.9035250463821892,0.9222790669843947,0.8055555555555556,0.7532467532467533,0.8181818181818182,0.7785234899328859,0.12329628043784371,0.3699764364295,-0.2913918693782472,0.8770877112365137,63.0,14.0,19.0,58.0,0.8545287170298441,0.9447325906993379
industry,Fintech,39,19.0,20.0,evaluated,0.9052631578947368,0.9276346368313129,0.7777777777777778,0.7368421052631579,0.8,0.7567567567567568,0.1115850036422062,0.34202227315470757,-0.23925849881987454,1.085035729726979,16.0,4.0,5.0,14.0,0.8013571428571429,0.983957219251337
industry,HR & Work,2,,,too_small_or_single_class,,,,,,,,,,,,,,,,
industry,Hardware & Industrials,64,32.0,32.0,evaluated,0.9111328125,0.9298780567871741,0.9259259259259259,0.78125,0.9375,0.847457627118644,0.11798733500142762,0.37003222092225685,-0.20694840119101893,0.88294357100863,30.0,2.0,7.0,25.0,0.8376357466063348,0.9696923828124999
industry,Health & Bio,37,18.0,19.0,evaluated,0.9941520467836258,0.9939896036387265,0.9411764705882353,0.8888888888888888,0.9473684210526315,0.9142857142857143,0.05208162858454603,0.1880241296611926,0.30095759922662596,2.345773806380073,18.0,1.0,2.0,16.0,0.9732142857142857,1.0
industry,Media & Entertainment,5,,,too_small_or_single_class,,,,,,,,,,,,,,,,
industry,Other / Unknown,14,,,too_small_or_single_class,,,,,,,,,,,,,,,,
industry,Transport & Logistics,2,,,too_small_or_single_class,,,,,,,,,,,,,,,,
industry,Unknown,729,366.0,363.0,evaluated,0.9799786237938249,0.9828186892990483,0.9316939890710383,0.9316939890710383,0.931129476584022,0.9316939890710383,0.05355457509525444,0.18571523118981528,-0.505089230380504,0.7967213195536439,338.0,25.0,25.0,341.0,0.97250751229654,0.9880495151949038
geography,Africa,1,,,too_small_or_single_class,,,,,,,,,,,,,,,,
geography,Asia,23,14.0,9.0,evaluated,0.992063492063492,0.9952380952380953,0.9333333333333333,1.0,0.8888888888888888,0.9655172413793104,0.04890137360126774,0.18178835590204906,-3.2466032325467324,6.864504567407978,8.0,1.0,0.0,14.0,,
geography,Europe,24,11.0,13.0,evaluated,0.965034965034965,0.9715909090909091,0.9090909090909091,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.06998418691335971,0.22642763465515417,-1.1173352312027085,0.941015516249166,12.0,1.0,1.0,10.0,,
geography,North America,265,132.0,133.0,evaluated,0.9052745500113922,0.9217197246398455,0.8362068965517241,0.7348484848484849,0.8571428571428571,0.782258064516129,0.1215003022795474,0.36918297560369717,-0.14862505250662927,0.9354331362650881,114.0,19.0,35.0,97.0,0.8723767457328703,0.940471401538705
geography,Other,12,,,too_small_or_single_class,,,,,,,,,,,,,,,,
