company,company_key,is_unicorn,label_source,index_date,outcome_date,matched_positive_company,match_method,match_gap_days,index_year,index_era,pre_round_count,has_pre_round,pre_rounds_with_amount,pre_funding_total_usd,ln_pre_funding,pre_funding_max_usd,ln_pre_funding_max,pre_last_post_money_usd,pre_max_post_money_usd,pre_unique_investor_count,pre_investor_count_max,years_of_history_pre,days_since_last_pre_round,max_feature_round_date,industry_group,continent,country,founded_year,has_founded_year,master_match_status,master_tier,probability,founding_year_cohort,funding_stage_proxy,total_funding_bucket,company_age_proxy,data_completeness,economic_period
"24M Technologies, Inc.",24m,1,capitaliq_post_money_ge_1b,2024-09-05,2024-09-05,"24M Technologies, Inc.",positive_self,0,2024,Post-2021,2,1,2,188500000.0,19.05460857015738,166670000.0,18.93152637351824,586740000.0,586740000.0,4,3,5.790554414784395,961,2022-01-18,Hardware & Industrials,North America,United States,-1,0,exact_unique,unicorn_current,0.9774976769100447,,2,Q4,3-7,round_history_only,2024
9fin Limited,9fin,1,capitaliq_post_money_ge_1b,2026-03-31,2026-03-31,9fin Limited,positive_self,0,2026,Post-2021,1,1,1,50000000.0,17.72753358339242,50000000.0,17.72753358339242,500000000.0,500000000.0,6,6,1.325119780971937,484,2024-12-02,Unknown,Unknown,,-1,0,ambiguous,unmatched,0.9662349019012303,,1,Q4,1-3,round_history_only,2025-2026
"Aalyria Technologies, Inc.",aalyria,1,capitaliq_post_money_ge_1b,2026-02-23,2026-02-23,"Aalyria Technologies, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Abba Platforms Inc.,abbaplatforms,1,capitaliq_post_money_ge_1b,2024-10-10,2024-10-10,Abba Platforms Inc.,positive_self,0,2024,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Fintech,North America,United States,-1,0,exact_unique,unicorn_current,0.9999655172413793,,0,Q1,0,limited_source_metadata,2024
"ABLY Corp., Inc.",ably,1,capitaliq_post_money_ge_1b,2024-12-02,2024-12-02,"ABLY Corp., Inc.",positive_self,0,2024,Post-2021,2,1,2,94940000.0,18.368755681620414,55820000.0,17.837642803987176,704180000.0,749760000.0,7,6,2.8281998631074607,620,2023-03-23,AI & Data,Asia,South Korea,-1,0,exact_unique,unicorn_current,0.9659734654946299,,2,Q4,1-3,round_history_only,2024
Abnormal Security Corporation,abnormalsecurity,1,capitaliq_post_money_ge_1b,2024-08-06,2024-08-06,Abnormal Security Corporation,positive_self,0,2024,Post-2021,1,1,1,24000000.0,16.993564429978885,24000000.0,16.993564429978885,139300000.0,139300000.0,1,1,4.714579055441479,1722,2019-11-19,Enterprise Software,North America,United States,-1,0,exact_unique,unicorn_current,0.429799980289512,,1,Q4,3-7,round_history_only,2024
Aditya Birla Housing Finance Limited,adityabirlahousingfinance,1,capitaliq_post_money_ge_1b,2026-04-17,2026-04-17,Aditya Birla Housing Finance Limited,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Advanced Machine Intelligence SAS,advancedmachineintelligencesas,1,capitaliq_post_money_ge_1b,2026-01-30,2026-01-30,Advanced Machine Intelligence SAS,positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
Advance Information Technology LLC,advanceinformation,1,capitaliq_post_money_ge_1b,2025-07-02,2025-07-02,Advance Information Technology LLC,positive_self,0,2025,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
"Aerojet Rocketdyne Holdings, Inc.",aerojetrocketdyne,1,capitaliq_post_money_ge_1b,2026-04-17,2026-04-17,"Aerojet Rocketdyne Holdings, Inc.",positive_self,0,2026,Post-2021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,,Unknown,Unknown,,-1,0,unmatched,unmatched,0.9999091792132103,,0,Q1,0,limited_source_metadata,2025-2026
