diagnostic,model,feature_count,features,train_rows,test_rows,roc_auc,pr_auc,precision,recall,specificity,f1,brier_score,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive
all_current_features,random_forest,17,index_year|pre_round_count|has_pre_round|pre_rounds_with_amount|ln_pre_funding|ln_pre_funding_max|pre_last_post_money_usd|pre_max_post_money_usd|pre_unique_investor_count|pre_investor_count_max|years_of_history_pre|days_since_last_pre_round|founded_year|has_founded_year|industry_group|continent|country,2996,1072,0.9662386528179996,0.9711744017336119,0.9096153846153846,0.8824626865671642,0.9123134328358209,0.8958333333333334,0.07087615851756501,0.23295220203100817,-0.39055415219998496,0.8646712990898048,489,47,63,473
remove_days_since_last_pre_round,random_forest,16,index_year|pre_round_count|has_pre_round|pre_rounds_with_amount|ln_pre_funding|ln_pre_funding_max|pre_last_post_money_usd|pre_max_post_money_usd|pre_unique_investor_count|pre_investor_count_max|years_of_history_pre|founded_year|has_founded_year|industry_group|continent|country,2996,1072,0.9657565716195144,0.9709076537158835,0.9202334630350194,0.8824626865671642,0.9235074626865671,0.900952380952381,0.0720890421226519,0.2320347467587862,-0.38516619075482617,0.8755598423146584,495,41,63,473
remove_timing_and_funding_momentum,random_forest,5,founded_year|has_founded_year|industry_group|continent|country,2996,1072,0.5689584957674316,0.5514837867129095,0.5477326968973747,0.8563432835820896,0.292910447761194,0.6681222707423581,0.23629042222729862,0.6635689342481514,-0.00143525051500549,1.188955201611193,157,379,77,459
company_characteristics_only,random_forest,5,founded_year|has_founded_year|industry_group|continent|country,2996,1072,0.5689584957674316,0.5514837867129095,0.5477326968973747,0.8563432835820896,0.292910447761194,0.6681222707423581,0.23629042222729862,0.6635689342481514,-0.0014352505150056647,1.1889552016111935,157,379,77,459
funding_history_only,random_forest,11,pre_round_count|has_pre_round|pre_rounds_with_amount|ln_pre_funding|ln_pre_funding_max|pre_last_post_money_usd|pre_max_post_money_usd|pre_unique_investor_count|pre_investor_count_max|years_of_history_pre|days_since_last_pre_round,2996,1072,0.9621279098908442,0.968169138486764,0.916015625,0.875,0.9197761194029851,0.8950381679389313,0.07530593674093744,0.2433746494089735,-0.37415290063743173,0.8327196702482526,493,43,67,469
matching_variables_only_DIAGNOSTIC,random_forest,2,match_gap_days|match_method,2996,1072,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000431333e-12,1.000000500029089e-06,0.0,1.0,536,0,0,536
missingness_indicators_only,random_forest,5,missing_max_feature_round_date|missing_founding_date|unmatched_master_record|ambiguous_master_record|no_observed_pre_round,2996,1072,0.8163931972599687,0.8434438209517866,1.0,0.6100746268656716,1.0,0.7578215527230591,0.13984238997838747,0.4112368475139173,0.02343341150845392,0.9767096849525433,536,0,209,327
remove_company_metadata_family,random_forest,12,index_year|pre_round_count|has_pre_round|pre_rounds_with_amount|ln_pre_funding|ln_pre_funding_max|pre_last_post_money_usd|pre_max_post_money_usd|pre_unique_investor_count|pre_investor_count_max|years_of_history_pre|days_since_last_pre_round,2996,1072,0.9630920722878146,0.9687516741844518,0.9106796116504854,0.875,0.914179104477612,0.8924833491912464,0.07491274017073622,0.2435762774668986,-0.4009662976046416,0.8401505830706165,490,46,67,469
remove_funding_history_family,random_forest,6,index_year|founded_year|has_founded_year|industry_group|continent|country,2996,1072,0.6830568472933838,0.6439707286090104,0.5677491601343785,0.9458955223880597,0.2798507462686567,0.7095871238628412,0.22237363620056286,0.6336053332573452,0.038982806505573654,1.7492307196702692,150,386,29,507
logistic_regression,logistic,17,index_year|pre_round_count|has_pre_round|pre_rounds_with_amount|ln_pre_funding|ln_pre_funding_max|pre_last_post_money_usd|pre_max_post_money_usd|pre_unique_investor_count|pre_investor_count_max|years_of_history_pre|days_since_last_pre_round|founded_year|has_founded_year|industry_group|continent|country,2996,1072,0.9465916685230564,0.9564471032003559,0.8532110091743119,0.8675373134328358,0.8507462686567164,0.8603145235892692,0.09736833349911408,0.3566902514150034,-0.6297448913231058,0.529693476008314,456,80,71,465
