variable,positive_n,control_n,positive_mean,control_mean,positive_median,control_median,standardized_mean_difference
index_year,2034,2034,2021.0137659783677,2021.0137659783677,2021.0,2021.0,0.0
founded_year,2034,2034,419.6794493608653,595.2477876106195,-1.0,-1.0,-0.20176108295413403
pre_round_count,2034,2034,0.7291052114060964,1.1415929203539823,0.0,1.0,-0.4613058965812671
years_of_history_pre,2034,2034,1.5079581407651041,2.176864622431667,0.0,0.2491444216290212,-0.22814765110797125
days_since_last_pre_round,2034,2034,367.89970501474926,692.3416912487709,-1.0,81.0,-0.36306182671674664
pre_funding_total_usd,2034,2034,30835236.971484758,11043505.40806293,0.0,3500000.0,0.4162587971043678
pre_funding_max_usd,2034,2034,23788292.527040314,10122866.273353,0.0,3345000.0,0.35810515808292326
pre_unique_investor_count,2034,2034,1.980825958702065,1.8588987217305801,0.0,1.0,0.04090439142149357
pre_investor_count_max,2034,2034,1.704031465093412,1.7856440511307767,0.0,1.0,-0.03190301363586586
has_founded_year,2034,2034,0.20894788593903638,0.29646017699115046,0.0,0.0,-0.20235905626012068
