company,company_key,prediction_date,horizon_end,ranking_score,label_state
"Changzhou Liyuan New Energy Technology Co., Ltd.",changzhouliyuannewenergy,2026-05-13,2029-05-13,0.9283912950071384,insufficient_followup
Coro Cyber Security Ltd.,corocybersecurity,2024-03-28,2027-03-28,0.9255426832898186,insufficient_followup
Snabbit,snabbit,2026-04-28,2029-04-28,0.9250407669229624,insufficient_followup
"Mellis, Inc.",mellis,2024-06-05,2027-06-05,0.916879250843872,insufficient_followup
"Augment Computing, Inc.",augmentcomputing,2024-04-24,2027-04-24,0.9030494511217365,insufficient_followup
Sana Labs AB,sanaab,2024-10-30,2027-10-30,0.8974910199915015,insufficient_followup
"Korsana Biosciences, Inc.",korsanabiosciences,2025-09-30,2028-09-30,0.8940782326659336,insufficient_followup
Doppel Inc.,doppel,2025-11-19,2028-11-19,0.8940443290337011,insufficient_followup
Nesse Technologies Inc,nesse,2025-05-31,2028-05-31,0.8905422593194073,insufficient_followup
Stellaromics Inc.,stellaromics,2025-02-11,2028-02-11,0.8841150616121469,insufficient_followup
"Ledgebrook Insurance, LLC.",ledgebrookinsurance,2025-06-20,2028-06-20,0.8823529954056857,insufficient_followup
"Hangzhou Bangshun Pharmaceutical Co., Ltd.",hangzhoubangshunpharmaceutical,2025-12-04,2028-12-04,0.8804385270061337,insufficient_followup
Nomu Pay,nomupay,2025-06-03,2028-06-03,0.8770250131096178,insufficient_followup
The San Francisco AI Factory Inc.,thesanfranciscoaifactory,2025-09-25,2028-09-25,0.8745929086974856,insufficient_followup
Girnar Insurance Brokers Private Limited,girnarinsurancebrokersprivate,2023-10-11,2026-10-11,0.8717616810107924,insufficient_followup
"Bangjie New Energy Technology Co., Ltd.",bangjienewenergy,2023-09-14,2026-09-14,0.8700967634900927,insufficient_followup
"HeyGen, Inc.",heygen,2024-03-23,2027-03-23,0.8657379088453857,insufficient_followup
Adaps Photonics Inc.,adapsphotonics,2026-02-25,2029-02-25,0.8604283640853633,insufficient_followup
"Suzhou Yimufeng Biotechnology Co., Ltd.",suzhouyimufengbiotechnology,2025-11-28,2028-11-28,0.8602486740877306,insufficient_followup
Scapia Technology Private Limited,scapiaprivate,2026-05-20,2029-05-20,0.8586288881384593,insufficient_followup
Elucid Bioimaging Inc.,elucidbioimaging,2023-11-09,2026-11-09,0.8574727484054265,insufficient_followup
Atlan Pte Ltd,atlanpte,2024-05-08,2027-05-08,0.8536548322515451,insufficient_followup
Marq Vision Inc.,marqvision,2025-09-15,2028-09-15,0.85208948491754,insufficient_followup
Firstclub Technology Private Limited,firstclubprivate,2026-06-03,2029-06-03,0.8488330971599717,insufficient_followup
Blu-Smart Mobility Limited,blusmartmobility,2024-07-15,2027-07-15,0.8472787498879502,insufficient_followup
"Triveni Bio, Inc.",trivenibio,2026-06-17,2029-06-17,0.8460698275793105,insufficient_followup
"Mariana Oncology, Inc.",marianaoncology,2023-09-07,2026-09-07,0.8439848858162418,insufficient_followup
The Woodenstreet Furnitures Pvt. Ltd,thewoodenstreetfurniturespvt,2024-12-07,2027-12-07,0.8397507746308956,insufficient_followup
M2 Semiconductor Ltd.,m2semiconductor,2026-06-02,2029-06-02,0.8351286903012713,insufficient_followup
