company,company_key,prediction_date,horizon_end,first_observed_unicorn_date,last_observed_transaction_date,label_state,target,prediction_year,pre_round_count,pre_funding_usd,pre_max_round_usd,pre_last_post_money_usd,pre_unique_investor_count,years_since_first_round,days_since_last_round,current_round_usd,current_investor_count,max_feature_event_date
"10000, Inc.",10000,2025-09-02,2028-09-02,,2025-09-02,insufficient_followup,,2025,1,11920000.0,11920000.0,18390000.0,0,2.138261464750171,781,12450000.0,2,2025-09-02
"100 Thieves, Inc.",100thieves,2019-07-16,2022-07-16,,2021-12-02,insufficient_followup,,2019,1,15060000.0,15060000.0,68150000.0,5,0.7282683093771389,266,34960000.0,2,2019-07-16
"1047 Games, Inc.",1047games,2021-09-14,2024-09-14,2021-09-14,2021-09-14,already_unicorn,,2021,1,6500000.0,6500000.0,6500000.0,4,0.30937713894592744,113,100000000.0,9,2021-09-14
"10Beauty, Inc.",10beauty,2024-02-06,2027-02-06,,2026-07-01,insufficient_followup,,2024,1,2890000.0,2890000.0,12110000.0,0,3.8740588637919235,1415,17000000.0,1,2024-02-06
"123 See, Inc.",123see,2025-07-16,2028-07-16,,2025-07-16,insufficient_followup,,2025,1,8289999.999999999,8289999.999999999,18440000.0,7,1.1827515400410678,432,21980000.0,7,2025-07-16
"128 Technology, Inc.",128,2014-12-17,2017-12-17,,2019-09-12,observed_no_future_outcome,0.0,2014,1,3850000.0,3850000.0,5850000.0,0,0.3805612594113621,139,12000000.0,0,2014-12-17
"15Five, Inc.",15five,2018-12-04,2021-12-04,,2018-12-04,insufficient_followup,,2018,1,1000000.0,1000000.0,4660000.0,2,5.883641341546886,2149,8199999.999999999,5,2018-12-04
"1661, Inc.",1661,2017-02-07,2020-02-07,2021-06-24,2021-06-24,observed_no_future_outcome,0.0,2017,1,4750000.0,4750000.0,26960000.0,3,0.44353182751540043,162,25000000.0,4,2017-02-07
"1787 Financial Corporation, Inc.",1787financial,2018-01-16,2021-01-16,,2018-01-16,insufficient_followup,,2018,1,100000.0,100000.0,5140000.0,0,0.5776865160848734,211,20000.0,0,2018-01-16
"1Huddle, Inc.",1huddle,2022-03-14,2025-03-14,,2022-03-14,insufficient_followup,,2022,1,2950000.0,2950000.0,2950000.0,2,3.9041752224503763,1426,1000000.0,2,2022-03-14
1k Kirana Bazaar,1kkiranabazaar,2024-04-29,2027-04-29,,2024-04-29,insufficient_followup,,2024,1,25000000.0,25000000.0,115000000.0,3,2.0643394934976045,754,3840000.0,3,2024-04-29
"1Life Healthcare, Inc.",1lifehealthcare,2011-09-21,2014-09-21,2018-08-22,2018-08-22,observed_no_future_outcome,0.0,2011,1,15260000.0,15260000.0,44730000.0,3,1.3442847364818618,491,20160000.0,0,2011-09-21
1MG Technologies Private Limited,1mgprivate,2022-09-06,2025-09-06,2022-09-06,2022-09-06,already_unicorn,,2022,1,70080000.0,70080000.0,200220000.0,7,3.19233401779603,1166,39990000.0,6,2022-09-06
"1Up Grading Company, Inc.",1upgrading,2018-07-11,2021-07-11,,2018-07-11,insufficient_followup,,2018,1,475000.0,475000.0,5000000.0,0,0.5804243668720055,212,156000.0,0,2018-07-11
"1upHealth, Inc.",1uphealth,2021-04-15,2024-04-15,,2023-04-12,insufficient_followup,,2021,1,8000000.0,8000000.0,30000000.0,4,1.1909650924024642,435,25000000.0,4,2021-04-15
